,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
PF3D7_1460800,8.31285,6.926026518,5.816867413,3.400585,2.336179352,2.082290323,2.284402,3.813970426,5.613593741,7.33214,9.145277153,11.04783833,13.154,16.73809536,18.70146305,19.33008708,19.1211168,16.8135,13.61888768,10.62654586
PF3D7_1454500,231.2057702,208.1385,185.1913935,158.5930081,128.7817,96.70680949,78.50442562,71.4064,69.92700518,68.4229939,70.92071002,79.30374156,95.8955,120.58331,147.7802874,175.975,207.7612044,251.6509577,345.0505,277.5350137
PF3D7_0315400,7.66464,4.850605251,5.379325568,11.7121,22.45193459,29.1320742,33.36215,43.81262549,55.12206889,65.98015,82.24977767,89.68742247,92.5471779,89.81401848,71.2077,45.92770799,37.36580247,35.5267,23.36680712,15.62571863
PF3D7_1035800,38.97443679,13.34951365,7.048665,3.989176832,3.189893872,3.087011251,2.574590987,1.872036,2.498417392,4.072983125,6.11954,6.266104992,6.974034419,21.9308,114.9470768,287.7763855,467.8705,398.9133561,282.6703728,121.9146
PF3D7_0731100,337.9956631,197.331,101.0830732,55.58454023,35.04595,22.29037621,18.6673163,20.28177704,27.52470665,46.0468,72.64165468,107.5139156,158.747,285.1320247,699.0955843,1736.71,1379.371787,1034.6666,783.8545,535.1866787
PF3D7_0530200,16.570405,6.215226738,3.307386585,3.283505,5.943999818,11.92888819,23.6284,42.66428533,63.40110773,83.99175,105.6065563,131.4331091,149.2765545,154.3686349,138.161,114.1766219,90.38831454,69.469,47.90617757,35.46556766
PF3D7_1401500,289.9351126,415.628,337.405199,219.6455269,102.74335,50.85722771,29.97093603,20.9613,13.24974561,10.20201474,8.771739767,6.711207543,5.56613,6.369248564,7.113429665,7.72707,19.04637918,56.61866511,94.21855,171.1615509
PF3D7_0102600,3.958954501,3.14938,3.54815629,3.90772321,4.19028,8.540362156,14.21990491,19.351,44.32993647,123.5920758,254.118,266.3184416,226.0867654,87.4093,40.30606115,20.25983297,10.355085,6.45798231,5.461430685,4.988132244
PF3D7_1437400,32.30765989,29.42478645,23.41045826,17.6058,14.06846508,10.83796557,8.42554,8.333655128,7.543614324,4.955065,7.302947813,9.880654278,12.29465,16.3881025,19.63615325,22.1773,27.08822724,29.95967143,31.3525,30.72136102
PF3D7_0503100,3.499333559,4.258470334,6.644425,9.951962968,12.7078924,15.2363,20.62953502,23.72569007,25.19485,28.51786573,31.06404087,30.27828174,26.77530847,19.6744,14.98172949,11.32601397,8.63693,7.277253508,6.106364216,3.55689
PF3D7_0936000,2.073450308,1.988463654,2.398701048,5.47965,26.96628009,48.48404449,69.0191,196.2008511,487.6187559,2872.2,3144.417185,2794.223687,1935.415,1052.813789,466.4089059,155.8345,46.50967509,16.64408236,9.12754,4.210708053
PF3D7_1149100,23.4125,20.11547142,20.30444618,24.02655,50.73559484,90.28263472,143.591,226.6461095,301.7680743,353.8085,366.8343108,358.249327,322.1645,266.6150026,228.686848,179.9436492,113.3683012,72.5675,39.72020854,27.43771861
PF3D7_1205500,549.5395,273.4398563,181.5989313,147.2405,102.0196494,65.28856514,41.9559,34.83526786,35.62448334,46.0023,66.07925412,86.70471578,105.6959065,144.0281619,176.879,188.0952241,202.4089589,234.05,1334.421427,1531.249756
PF3D7_1345700,36.44304802,27.22845978,19.98135,22.30275869,26.78248554,36.15605,47.17778123,59.51729602,73.25755,90.7613213,102.9447241,109.834,115.5768597,122.7410206,116.0058189,102.4150266,87.2707,59.54037487,50.53328947,49.0153
PF3D7_0918200,19.32368969,11.492895,5.618207099,3.487000386,3.63536,7.605557783,14.42285959,23.7406,34.70841764,43.06470907,49.45045,57.44462299,73.71061501,87.15968528,92.04417017,82.2342,54.69758414,36.85247093,28.7876,21.93023137
