,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34
PF3D7_0501000,599.1260775,374.9594933,240.8325,142.9012759,80.66835537,41.9405,25.13265186,20.79184741,59.16375,110.7604557,196.6173182,325.313,454.1178844,631.8321585,854.881,1014.0643,1020.628487,891.6985
PF3D7_0512200,31.04754942,25.95473969,19.0199,14.75727918,10.23121663,5.445815,3.603451416,2.950190372,2.70886,3.235491372,5.018962966,9.51791,14.84118669,19.03326151,22.424,28.67493103,32.35484309,34.29135
PF3D7_1210700,4.173576655,6.358984019,8.37204,12.65348108,13.44971854,12.4708,11.08902038,6.101419235,3.02117,1.73160048,1.227985305,1.1134558,1.081900342,1.096355325,1.1339684,1.177171568,1.354832421,2.025655
PF3D7_0515700,19.21189179,31.41042727,68.60645,161.7230754,448.1237444,1155.24,2125.965888,1983.210808,1030.6,425.0330086,136.7659707,51.4644,24.3912574,15.05183755,11.20652,7.129499841,7.984171665,14.38969
PF3D7_0507400,1.958819808,2.207710184,2.6223,5.551420768,11.62909439,26.77215,160.0024407,448.528878,731.695,328.9714789,92.7730327,24.62085,12.00313218,6.328065711,3.25173,2.251256368,1.899697187,1.782539
PF3D7_1240400,2.184371468,1.584127099,1.28528,1.20351869,1.196298822,1.2426255,1.353869384,1.693880123,3.33798,8.182961178,14.48982947,20.2478,22.76762389,24.02688223,23.907,15.70386149,7.938547972,3.550005
PF3D7_1205200,1.761676487,2.361748902,3.578745,7.685659477,17.34418131,38.26685,77.70960484,102.5023035,29.7878,12.41426013,4.683705034,2.28447,1.831013117,1.447563011,1.124924,1.153800432,1.236838542,1.429615
PF3D7_0619600,4.516551861,4.814864836,5.134265,4.260768839,3.327107483,2.42195,1.998166084,1.650809632,1.290051,1.155146232,1.162712655,1.3098345,1.476077934,1.748629812,2.148775,2.493448232,3.086734402,3.914125
PF3D7_1010300,57.09428671,62.74151176,82.2514,181.3015961,332.8599052,544.415,861.7382613,2563.860531,5694.415,4206.179626,2679.442847,1505.735,792.9778042,453.2639743,283.6975,134.4107619,73.17541833,54.7361
PF3D7_0105300,8.921959928,17.30252145,37.813,60.65073434,138.9707511,358.1695,657.7330034,779.8657193,272.0325,108.7471586,37.93584872,16.68165,7.542059277,4.703714714,3.738625,2.416525707,2.755549701,5.81632
PF3D7_1133400,4.63339916,8.386029348,23.25165,42.82481886,74.96486661,139.5135,631.737118,1589.623073,2124.905,958.0078027,273.8397734,80.12195,37.96573381,20.85275695,12.474,7.534127005,5.183003644,4.19789
PF3D7_0407700,2.077906863,3.082555488,4.84718,9.069021785,21.06379002,50.51185,98.50901506,149.4468329,77.8978,33.74107203,11.64193737,4.61927,2.843082054,2.12902997,1.672074,1.369475452,1.327930273,1.493339
PF3D7_0221200,22.04178741,13.93301325,8.54974,5.150391335,3.245890846,2.174517,1.697425559,1.494060499,1.92117,3.321878541,4.73699594,6.363075,11.07239593,18.62425975,29.00865,38.00298009,38.63234248,32.0649
PF3D7_0204000,5.618238269,6.158916426,6.591105,5.935689509,4.663436246,3.088875,2.350795783,1.639093427,1.3523485,1.228694709,1.133620449,1.0793238,1.100798606,1.204353424,1.5560965,2.107442245,3.281578405,5.023305
PF3D7_1361100,78.25719511,90.61863278,110.58315,137.1648366,191.7693478,282.575,350.9420896,395.6078854,449.3385,571.0119123,578.2076707,463.0005,400.0803197,328.1087897,239.6285,165.1356153,105.7284157,68.5137
