,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44
PF3D7_0501000,313.639,183.2288504,115.1488282,75.9064,60.87403955,38.43096746,22.0082,16.67637682,18.66442295,25.89235,28.35794329,33.11154487,45.81615,79.8330157,122.4547444,180.9465,398.5537743,674.201174,1201.38,1711.794731,1668.158603,1011.16,479.1116929
PF3D7_1447400,21.5748,17.3303886,13.15199285,8.52488,4.393116115,2.36089812,1.7508515,2.124966703,3.411478009,6.99371,12.74163812,22.21508277,35.76095,46.85216235,63.78064852,91.082,135.7858601,160.9782092,105.348,65.20410217,47.87765535,40.4216,26.70781904
PF3D7_1436000,167.065,119.9233909,81.10417711,49.1415,33.01842747,21.12259917,11.582905,10.96605394,14.47518938,24.28655,28.12484442,34.67465869,48.51605,72.29016456,106.9737873,165.216,309.7900666,523.6176808,755.296,628.786721,459.6345601,308.012,203.9729076
PF3D7_1368200,111.65,103.6257013,92.67140378,76.0566,59.52431951,43.25415586,27.7462,33.31138807,47.25325523,70.1336,79.31750589,91.2003016,108.5525,122.6390743,133.0287263,140.5055,154.3334696,166.4687909,143.775,141.7802832,140.9417238,140.285,121.4877444
PF3D7_0906910,41.8355,29.50013096,22.17041835,17.9999,10.94921767,7.287307656,4.56351,4.61732862,6.217689259,12.1098,18.27955316,25.25184975,33.4245,45.75089152,54.8495869,59.9095,58.40194444,62.61943704,70.3624,68.988538,64.80695765,55.6771,46.73889787
PF3D7_1028000,23.6493,14.99234887,10.60381461,8.21467,6.030910378,3.929980638,3.634235,3.595374867,4.754370431,9.68334,16.06749736,25.36470637,37.2453,47.26537829,55.48964562,63.71815,73.62006347,79.83527786,70.9981,69.07692307,63.22259998,47.0459,30.3514229
PF3D7_1038100,15.1967,12.02715346,9.204639951,7.17472,6.111767127,5.065836166,4.637335,5.559620082,7.264406102,9.74068,12.74412285,15.51682589,17.5615,17.75227119,18.63632038,20.71345,22.81188966,23.45469707,22.404,19.90187232,18.5769011,18.0195,16.34995784
PF3D7_1371600,2.06644,2.360149242,3.769265099,10.409,47.97628159,110.2937552,187.7355,122.1856559,78.94521257,45.475915,21.95465605,9.855388514,4.6581275,3.277761794,2.318435331,1.6018245,1.335998118,1.171835584,1.164696,1.186583449,1.29140067,1.596145,1.900661524
PF3D7_0532300,230.914,115.5845722,77.47692303,65.1829,66.13697407,47.64014815,25.988,27.82405498,37.62671659,75.09475,150.8100008,273.1440504,466.3215,919.8588963,1316.244323,2050.855,4765.608404,7348.555425,8650.69,5960.65883,2942.214764,967.137,367.5972159
PF3D7_0821400,170.338,211.514592,257.6361635,318.047,506.0554843,1024.184614,1931.1,1685.791058,1295.59295,903.456,734.5237532,562.3115725,418.1235,384.65898,334.3942913,255.632,215.1768629,187.0970997,166.571,132.4168357,124.0465107,125.659,151.1764065
PF3D7_0213700,141.17,112.0629709,75.33114713,35.4848,25.94749461,13.84205793,7.378205,5.99209622,7.709413205,17.10055,28.50592501,42.40209527,58.5582,77.92899261,101.0736425,135.8365,228.5722121,305.2134074,297.806,343.948963,332.2479061,223.342,163.3397571
PF3D7_1354500,83.8511,73.48969277,62.55927573,48.6972,34.99739608,22.59627236,12.30115,12.69824809,15.86930062,23.86805,27.77145459,32.48585403,39.54235,52.97706869,61.67475721,66.72025,74.84069404,94.98640345,114.814,154.1737495,161.7267351,146.026,101.4530719
PF3D7_0810800,52.3666,38.43733998,26.34456014,16.9143,11.43228445,6.607912071,3.57855,2.750902674,2.624861645,2.8379,4.912260779,7.957638411,11.3414,13.97259723,18.81540337,29.97555,57.19950174,98.75707791,154.198,140.5172452,111.0000708,72.1441,58.28959068
PF3D7_1332400,26.4582,23.91104524,20.29475113,15.8828,12.27229615,7.926349337,6.4393,6.85042141,8.974904983,13.36195,13.85440417,15.16177086,18.45595,21.26550244,25.20160916,31.0821,34.45761576,36.9174781,37.6469,34.92987948,31.37806624,28.4265,27.16044596
PF3D7_0806000,13.1601,13.11836561,12.19915467,8.94872,7.613899874,5.104717841,2.90883,2.23907081,2.31257099,3.17159,4.148821411,4.899608847,6.0166,8.033040471,9.673797786,11.419205,13.22320266,15.97498588,19.2931,20.83246507,19.6366598,14.7184,13.39852243
PF3D7_1469200,4.48,6.366209102,9.833972691,18.0269,58.38085038,123.2632232,201.8525,117.9084396,71.85656802,47.27823,22.71868381,10.00627084,5.243705,4.30608804,3.333009921,2.042379,1.786039349,1.437152963,1.50373,1.471529259,1.553715038,2.11315,3.535734738
PF3D7_0613900,2.09465,2.635899695,4.155028176,9.47023,41.10974796,112.8975678,233.558,134.149269,76.07832761,49.66995,24.12352899,10.57590529,5.28306,3.809361867,2.752826814,1.9102535,1.462746173,1.220515977,1.281159,1.355633007,1.399625568,1.428704,1.809810979
PF3D7_1104900,2.30449,2.649186168,3.979293193,9.79086,49.4017459,122.1902277,193.622,112.0052221,61.31949345,38.52989,19.0095154,8.000675176,3.355602,2.921010015,2.393015557,1.6949725,1.401901422,1.173198047,1.16185,1.343968301,1.562336589,1.767773,2.107232845
PF3D7_1037300,312.864,256.8382624,196.1648723,132.13,82.54532725,53.45150539,43.3786,70.37154111,118.6014558,185.237,265.9690666,337.9463453,400.4715,509.3501716,570.2731102,644.163,894.6430907,1138.920395,1194.8,713.6799211,473.932934,423.457,348.3357106
PF3D7_1130600,14.3618,10.21601946,7.189962227,5.21868,4.396756905,3.398956698,2.432405,2.541008293,3.633326863,6.778005,8.001997839,9.58189024,11.99375,15.95178155,20.59441836,24.3751,23.76801136,24.87606296,29.8791,26.89110166,23.7963644,21.3471,16.75664774
PF3D7_0323100,36.7102,34.82726472,31.06292419,25.4695,22.91272148,17.17065345,7.91989,6.415145514,5.94863206,5.366385,9.972858437,16.0501031,21.8631,26.93875957,29.93657177,33.5744,36.19693563,37.81976426,39.6826,41.57872746,41.06117823,37.86,37.12771238
PF3D7_1408100,363.842,315.8694618,260.9701811,191.06,117.8623096,81.57403625,69.5981,124.2855505,226.9421392,365.7395,453.6133926,566.3493255,693.6285,793.6469516,810.7887669,812.2405,1159.589508,1397.298473,1010.65,851.5352786,696.3988656,535.958,408.4733622
PF3D7_0628300,187.268,215.4640541,251.0745806,316.811,624.5187611,1932.59051,4958.19,3955.547707,3001.659813,2576.725,1554.85785,859.7372376,531.8865,301.0110334,175.0525091,106.48505,66.85108315,34.52508291,16.9646,33.75620985,65.00355724,109.979,164.0132614
PF3D7_1010700,140.916,130.2554987,126.0113808,123.409,89.81537948,55.23535858,30.65485,49.73121453,81.80465047,118.5195,139.9298468,163.2997547,193.399,242.7413085,266.763989,274.6055,390.9603501,466.7268266,326.837,278.5751011,234.6979888,190.654,152.7190867
PF3D7_0512000,146.188,135.5105846,124.6797046,109.571,77.37143749,52.60429249,28.8744,19.84808921,16.68626626,13.8483,28.94502042,45.09805671,60.3035,100.2831478,118.1708465,123.4765,163.933883,210.9504849,221.016,226.6633353,223.0098426,199.126,160.7337164
PF3D7_0114200,95.7078,54.65999551,29.55047194,14.5512,12.24812181,7.13846142,4.052005,3.012437412,2.967905368,4.054315,11.99210066,22.85976746,35.32855,51.71525732,63.81569764,74.0554,102.7126946,125.5007032,144.742,242.1989375,271.2396716,267.912,152.0467638
PF3D7_0711500,67.7602,65.58018192,61.31734892,51.6394,40.44942818,26.03323093,11.54495,8.106599766,6.460262172,3.74443,3.418984904,4.062979426,6.808945,12.8105701,22.12333967,33.2647,40.29212312,50.88527794,72.3655,90.56300192,93.20669346,86.5182,72.66090602
PF3D7_0932300,66.0819,57.47933662,48.71858899,38.3563,25.94285289,13.44616387,7.47712,6.103441111,5.774494087,5.68792,9.477942148,14.4797884,19.7104,24.42283815,31.6567321,44.67025,76.19935034,108.0530093,120.79,101.3427599,93.86639752,93.3602,75.59116278
PF3D7_1242200,46.8879,43.82429782,39.65243644,35.2034,29.68220967,21.98601092,12.43575,14.78904607,18.54187105,22.9115,26.70355117,30.40609931,33.6576,34.63133218,36.66738006,40.8231,45.39710549,53.90698943,61.4519,60.68628291,56.12602091,47.0363,46.94740539
PF3D7_1242600,15.7461,12.0216998,8.847009547,6.43716,5.374496107,3.287554466,2.387465,2.533004445,3.288604576,5.583025,8.591231201,11.75359279,14.75385,17.53681987,20.53917562,23.4173,24.42650949,26.07087269,26.9252,31.00675372,30.04635845,21.6366,17.54508995
PF3D7_0308700,2.41365,3.215867805,5.324893697,12.3995,57.23344948,108.8660776,135.4534,89.71524107,58.66750881,29.909845,14.45222248,8.056117751,5.442915,3.333799632,2.400371606,1.9671695,1.693191452,1.387368708,1.197109,1.251211963,1.255443593,1.213431,1.908119081
