,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52
PF3D7_1200400,12.87213372,6.399364531,3.6689,2.46836284,2.275692222,2.30087,1.785284815,1.681002935,1.8682105,2.472290436,2.652306966,2.97729,6.944577099,16.58409328,21.2042,21.89837721,24.48064409,31.182,34.12546339,39.11354236,48.3806,61.49209885,60.27527819,43.7733,36.55924937,30.40571505,24.0154
PF3D7_1370300,3853.264743,1613.23669,802.891,368.1576484,344.2946296,493.265,185.088037,106.4112811,201.301,343.5014181,515.0220516,756.9325,1530.033274,2186.453066,2456.09,2907.122117,4137.892418,6538.49,7609.207603,10107.57526,15147.7,18848.33224,18650.63851,14925.6,13074.12455,10992.71393,8265.75
PF3D7_0425800,22.02526017,10.15961218,5.19626,3.273450977,2.810286418,2.68989,1.891533802,1.709503096,1.9248885,3.232653989,3.610385681,4.09867,10.98976248,25.81536942,33.398,34.21646912,39.21670601,52.9095,56.36682529,62.40723176,77.435,133.3077784,131.7103883,72.5807,61.63395232,52.53412542,42.022
PF3D7_0632500,18.16298213,8.589901107,4.35757,2.912253552,2.619293351,2.57001,2.100881208,2.053273072,2.300503,2.949313501,3.145238907,3.57384,10.21744791,21.86142803,27.5187,29.86821128,35.52786734,46.5067,50.68826302,57.99261837,68.4858,71.69465758,70.49135423,62.549,55.20410161,46.05188243,34.3906
PF3D7_0604200,73.24565548,93.33590404,108.141,123.1347983,126.0444525,123.87,70.96858449,55.14220741,52.99075,47.09324938,37.02380943,21.73375,17.96152345,11.13834145,5.63639,6.907056667,6.031346296,2.25865,3.294632469,4.496323038,5.67498,9.286181014,12.21798856,14.5298,24.14751543,36.20576721,49.7874
PF3D7_1131000,28.51420759,32.84309062,39.9885,51.83383612,52.30310138,40.3515,24.45521977,19.78043959,21.0924,16.68448879,13.83800097,11.6253,6.645458239,6.42930963,6.56768,3.888102222,2.978988889,3.0611,2.660240741,2.614121679,3.12652,3.908924904,6.047138734,10.29108,12.54619465,17.28147088,25.3846
PF3D7_1150400,18.46705985,9.127265628,4.93926,3.222469372,2.725501878,2.54877,1.762755349,1.696692874,2.2054585,3.080179425,3.308344089,3.597845,9.567100579,21.82446774,27.7044,26.25951111,29.05460054,39.9568,41.90209823,45.86461102,57.6049,108.4917198,106.2897173,51.5418,45.43333585,40.05967184,33.1056
PF3D7_0617400,7.029773863,4.033871413,2.38075,1.728795317,1.660329926,1.773104,1.316702519,1.20933241,1.3328695,1.672303911,1.814748995,2.0118125,3.757371677,8.068607042,10.73142,10.02935333,10.52904495,13.2655,14.20783284,15.93636921,19.7782,27.80350856,27.12508401,17.5272,15.0444871,13.09620608,11.0277
PF3D7_1300300,6.052463369,3.438306233,2.27207,1.702876865,1.607054074,1.6132,1.334317037,1.285342871,1.4375765,1.79799137,1.907336316,2.064778,3.790873237,7.034585944,8.68588,8.6891636,9.578630487,12.8041,13.89538082,15.59846814,19.1623,29.79767835,29.34477981,17.8893,15.67741101,13.44511234,10.497
PF3D7_0828200,25.70391803,27.13325044,25.474,22.98558261,21.19936456,19.9341,16.74922683,13.26651867,11.174665,9.711458161,8.785009225,8.087295,6.524760794,3.481821272,2.90033,3.186341716,3.979367071,5.57036,7.127992057,8.528102645,9.7746,11.25207211,11.99904948,12.4193,15.52656419,17.99189455,19.619
PF3D7_1100200,66.43936703,27.60280377,12.0291,8.031732596,6.330103484,5.30242,3.112375915,2.71970494,3.420415,5.923833456,6.902685529,9.139705,27.62226991,74.75449801,90.7559,87.19041852,96.82656938,130.647,133.8936966,143.95848,180.223,282.4327355,278.1104437,170.7,153.1607531,140.1858603,125.081
PF3D7_0712300,20.10482259,10.09382369,5.4451,2.87985032,2.620679259,3.18062,1.939408148,1.568841635,1.8955305,2.690454185,3.04721973,3.823375,11.47108732,25.59860096,28.7607,32.76450275,41.97032877,55.856,57.94612212,60.7603247,67.3956,139.7846978,140.8607115,69.3005,60.07456894,50.44077857,37.2849
PF3D7_0712000,16.90994574,9.167062427,4.73051,2.792164179,2.689084815,3.33247,2.089744815,1.799863181,2.191129,2.729304736,3.110463837,3.751865,9.429165572,22.59313872,27.1832,25.57905185,27.95912442,38.1438,40.78259593,44.30367104,51.8192,108.9580901,110.2017543,54.7551,44.59647744,36.43148257,27.8661
PF3D7_0733000,11.44036485,5.78245511,3.11213,2.300212606,2.081341921,2.00466,1.62889355,1.583808607,1.7737415,2.129272919,2.203784445,2.40073,5.524545774,12.16503935,15.8607,15.93006752,18.32736305,25.7659,26.87417032,29.06775994,35.1542,54.99098679,53.54356458,31.1251,28.75525476,25.64138003,20.1413
PF3D7_0800200,6.161440663,3.688494188,2.37308,1.704187876,1.569715833,1.556109,1.258096334,1.253449634,1.455547,1.55676621,1.632439543,1.975904,3.637560495,7.040783786,8.35649,8.365344403,9.401388792,12.7744,13.3664872,14.78625327,17.8399,19.99697874,19.80215874,16.9222,14.16292994,11.8224885,9.74585
PF3D7_1241600,7.972402439,12.15601219,18.2398,24.68725958,26.10964994,25.9986,20.81777228,19.92458148,19.6879,14.93170372,11.2527068,8.93598,7.295399406,4.828761011,4.58735,3.192183935,2.490180539,2.31097,2.248717239,2.094364513,1.850198,2.102632858,2.520333291,2.8833,2.727462963,3.126693932,5.37311
PF3D7_1301200,147.2947024,63.14338272,25.2281,19.83342913,16.59789396,13.9687,10.90374797,10.34692202,12.39835,13.60440486,22.61176539,47.63253,77.12439168,81.18856334,351.594,924.2271145,2343.940161,4332.65,4455.847229,5232.699936,7008.19,6743.163469,5703.988867,3387.76,2039.778703,1025.412738,341.589
PF3D7_1215300,706.6280542,983.6784812,1217.07,889.2723642,588.2437339,403.329,170.3111612,133.51,181.798,152.0597522,112.9217376,76.2593,56.42534932,40.92042593,41.8965,29.55659854,25.02705331,24.9273,28.81406443,39.26051271,61.4333,91.56428995,118.1385454,143.043,198.4577716,303.040699,484.174
PF3D7_1240300,15.27005867,7.410692577,4.00361,2.889067711,2.673116804,2.64133,2.09129981,2.037014441,2.44284,3.178133479,3.476766334,3.81248,9.296996995,19.31344597,24.0642,24.82603556,27.71394013,35.3478,38.88365801,44.43053541,56.0463,96.65886223,93.51211314,47.3796,43.21866757,37.82463482,28.5671
PF3D7_0400400,13.26868322,6.646736355,3.69415,2.446660644,2.296872593,2.46288,1.714148148,1.532247166,1.8307745,2.667988861,2.948909465,3.253845,7.378981574,15.05898641,17.697,18.96360354,22.59830747,29.6891,31.25670147,34.07841781,40.9966,60.63387112,59.81129707,39.1782,35.89647315,31.59616067,24.294
PF3D7_1037100,39.69106454,48.38895821,57.5347,48.63341872,43.78879761,42.254,21.13828438,13.27674003,14.09505,14.47646584,13.18233123,9.586585,7.410725693,4.986503338,3.6548,3.488778976,3.196194682,2.80176,3.481178592,4.849676631,7.03486,9.905352716,12.08642137,13.8395,17.93121796,24.7061248,33.7794
PF3D7_0831700,3193.242747,1499.657553,1010.82,1012.034815,993.1116225,870.613,342.7995627,183.5913224,179.556,230.4277381,354.8839692,589.4655,1023.79375,2694.219099,3995.55,5732.591942,8397.429288,11057.3,10590.11481,12146.80377,18980.6,23573.28512,23310.54233,18524.3,15994.34253,12400.45929,7379.19
PF3D7_1317400,109.9320042,97.14697726,72.6665,76.0642037,74.35805191,60.266,42.74201703,28.76359945,31.7125,25.56857598,21.38721314,18.71615,15.62766123,11.14222263,8.93516,8.643953008,9.194853303,12.2838,17.26115826,21.04406828,23.8606,31.84988154,35.27631657,36.3034,40.82176257,64.9986854,112.261
PF3D7_1208300,76.92904699,83.08775926,77.7785,102.4507222,103.6528051,72.2646,49.18573271,30.7567151,34.9208,29.50777796,24.6733764,20.61215,14.27956111,9.760086976,7.0815,4.728072224,4.180351711,4.14468,5.148185936,6.703904177,8.94904,17.77620609,22.47674382,24.3081,30.65223387,38.58177245,48.3621
PF3D7_1452700,124.6787425,135.6025926,135.17,144.7797966,154.332796,159.23,113.9210406,78.42664717,63.56965,57.93081811,53.2729814,48.2075,41.46812775,32.86157746,31.5409,27.83044359,25.65510627,24.6228,22.464662,23.00857461,26.6898,27.44929754,29.27400617,34.5412,43.62549959,58.35492405,81.6353
PF3D7_0312000,35.45818249,72.54918639,121.897,121.3318148,144.3846296,210.815,108.4754526,65.31977343,54.9059,47.89599113,36.62609788,23.91965,25.33207201,19.64648054,11.9492,8.207176272,6.637496604,5.86858,3.947351195,3.627269318,4.5955,6.255332863,7.177673454,7.57514,7.907305375,10.18950048,19.9073
PF3D7_1110600,21.91865093,35.68552775,79.6723,99.3982835,124.5095526,154.374,170.513443,168.7821192,115.74745,92.95087844,80.54611155,64.51245,55.08506092,26.62149475,19.3184,15.54456938,14.87182062,14.8669,11.83581044,10.74854352,10.73537,14.21057451,17.0209103,18.1335,14.98401852,15.27105326,20.3534
PF3D7_1300100,8.769810597,4.84753666,2.81807,1.995420487,1.790769348,1.740851,1.625135073,1.649135982,1.77613,2.037617204,2.133349568,2.441705,5.052217089,11.00615424,13.7268,12.82961481,14.32048224,20.0496,20.75738555,22.60149496,28.6381,46.03714836,44.9867089,26.0977,23.89048088,20.65377784,14.9405
PF3D7_1000100,7.312420654,4.235492348,2.63915,1.759175448,1.732424815,2.10335,1.54013963,1.407761993,1.660093,1.881404106,1.955249984,2.234037,4.7897296,8.968760583,9.64022,12.45675655,16.60687501,20.9944,23.13328892,24.3145441,25.2945,48.80566213,49.31248077,25.6602,22.39939484,18.37547001,12.5322
PF3D7_0518100,23.27428904,24.15945366,24.2064,20.01173333,19.20904074,21.1103,14.49705138,9.811349356,9.282815,8.408316809,7.287188131,5.963055,5.857623715,3.651009826,2.51119,2.825010077,2.983596755,3.02424,3.290932804,3.790637755,4.6312,5.960356122,7.480938005,9.30137,13.32786988,16.96634813,19.7807
PF3D7_0600200,13.42937957,7.290476164,3.99573,2.651872151,2.444893704,2.49279,1.88814037,1.803285223,2.348095,2.994777759,3.102479008,3.242665,7.259304657,15.99423193,20.7893,18.94092963,20.72288552,28.4406,29.39660197,32.25608237,41.6783,62.08082273,60.73816253,37.6896,32.43747909,27.72473494,22.1662
